Postal_Code,Subdivision_Name
N9B 1T7,Windsor
M5V 3K2,Toronto
K8P 3Z4,Belleville
M9N 3V3,Toronto
L8M 1L6,Hamilton
M4X 1L6,N/A
N0P 2K0,Chatham-Kent
K2P 2J6,Ottawa
N1R 3B2,Cambridge
K1Y 4E9,Ottawa
(Sub to,N/A
L5R 4B8,Mississauga
K6J 1G8,Cornwall
K0J 1P0,Laurentian Hills
M9C 5A3,Toronto
P7E 2V6,Thunder Bay
N7G 2P1,Strathroy-Caradoc
K6V 5W8,Brockville
K9J 5R2,Peterborough
M8W 3V7,Toronto
K7L 1W8,Kingston
L9T 1N3,Milton
P6A 5N9,Sault Ste. Marie
M2G 1G3,N/A
N3R 2H6,Brantford
M4P 1K1,Toronto
L7L 0B7,N/A
N1H 6P6,Guelph
M3C 1T9,Toronto
P5E 1S4,Sables-Spanish Rivers
K7P 2S7,Kingston
P0M 1M0,St.-Charles
K9J 3Z3,Peterborough
N0K 1N0,Perth South
N3T 5W7,Brantford
L3Y 2P9,Newmarket
L5T 2P7,Mississauga
M9A 5G1,Toronto
K1S 1V9,Ottawa
K4A 4X4,Ottawa
N8W 5T1,Windsor
K6J 1G8,Cornwall
N2G 3R1,Kitchener
M4C 1J6,Toronto
M1P 2T7,Toronto
M9P 1A6,Toronto
P4N 2G8,Timmins
M9V 4K6,Toronto
L9C 5R9,Hamilton
L1S 1P5,Ajax
L5K 1B2,Mississauga
N6P 1B1,London
L4M 2V1,Barrie
M2N 6E8,Toronto
N2C 2S9,Kitchener
M3C 1W1,Toronto
M6G 1L5,Toronto
M3M 3G2,Toronto
L3R 1K9,Markham
P7B 3B4,Thunder Bay
K2P 1X5,Ottawa
L8M 1A3,Hamilton
P3B 3L7,Greater Sudbury / Grand Sudbury
N8X 4G2,Windsor
N7S 1W7,Sarnia
N8W 3Y2,Windsor
K0M 2C0,Kawartha Lakes
L4K 4L7,Vaughan
P9N 1G5,Kenora
L8S 1L3,Hamilton
K1S 1V9,Ottawa
M6B 3S8,Toronto
N7S 1P6,Sarnia
M4Y 2G1,Toronto
M2N 5P9,Toronto
M4Y 3B3,Toronto
V6J 4S7,Vancouver
L4W 4X7,Mississauga
N1G 5L3,Guelph
L0G 1V0,Whitchurch-Stouffville
L4W 4X7,Mississauga
L4W 4X7,Mississauga
L4W 4X7,Mississauga
L4W 4X7,Mississauga
L4W 4X7,Mississauga
L4W 4X7,Mississauga
K1R 5B2,Ottawa
L4W 4X7,Mississauga
L4W 4X7,Mississauga
L4W 4X7,Mississauga
L4W 4X7,Mississauga
L4W 4X7,Mississauga
L4W 4X7,Mississauga
L4W 4X7,Mississauga
L4W 4X7,Mississauga
L4W 4X7,Mississauga
L4W 4X7,Mississauga
L4W 4X7,Mississauga
L7R 4C2,Burlington
L7R 4C2,Burlington
L7R 4C2,Burlington
L7R 4C2,Burlington
L7R 4C2,Burlington
L7R 4C2,Burlington
L4W 4X7,Mississauga
L4W 4X7,Mississauga
L4W 4X7,Mississauga
L4W 4X7,Mississauga
L4W 4X7,Mississauga
L4W 4X7,Mississauga
"uga, ON",N/A
L4W 4X7,Mississauga
L4W 4X7,Mississauga
L4W 4X7,Mississauga
L4W 4X7,Mississauga
"ssauga,",N/A
L4W 4X7,Mississauga
L4W 4X7,Mississauga
L4W 4X7,Mississauga
L4W 4X7,Mississauga
L7R 2J6,Burlington
L5N 2V8,Mississauga
L7R 3Y7,Burlington
L6K 3B5,Oakville
L7R 3Y7,Burlington
L9H 1T8,Hamilton
L2A 1N8,Fort Erie
N7T 5N9,Sarnia
N0N 1B0,St. Clair
N0N 1G0,St. Clair
N0P 2B0,Chatham-Kent
N7A 3Y5,Goderich
P0M 1Z0,Hornepayne
P6C 2K7,Sault Ste. Marie
P6A 6Y9,Sault Ste. Marie
P0S 1K0,Wawa
N0R 1V0,Kingsville
N8M 2C6,Essex
N7A 3K4,Goderich
N0J 1P0,Norfolk County
N5C 2T4,Ingersoll
N4S 1H2,Woodstock
K1S 1V9,Ottawa
N5H 2B6,Aylmer
K1S 1V9,Ottawa
L2G 5V6,Niagara Falls
N8T 1E8,Windsor
K6J 1G8,Cornwall
N8Y 3G4,Windsor
N0N 1G0,St. Clair
N7S 1W7,Sarnia
N0N 1T0,St. Clair
K6J 1G8,Cornwall
K6H 7C4,Cornwall
L7N 2R4,Burlington
P3E 2K8,Greater Sudbury / Grand Sudbury
P1B 1B7,North Bay
P5A 1N7,Elliot Lake
P3E 3L8,Greater Sudbury / Grand Sudbury
P3A 3V3,Greater Sudbury / Grand Sudbury
P0M 2C0,Greater Sudbury / Grand Sudbury
L3R 9Z7,Markham
N5W 5V7,London
L8M 1C6,Hamilton
L9K 1S4,Hamilton
K8V 5R1,Quinte West
N5C 4A6,Ingersoll
L8H 2J8,Hamilton
L9T 1N3,Milton
L8P 2Y9,Hamilton
L9A 5E9,Hamilton
L8P 2Y9,Hamilton
K0J 1B0,Hastings Highlands
K8A 7T1,Pembroke
L8N 3G3,Hamilton
K8A 6L1,Pembroke
K0J 1T0,"Brudenell, Lyndoch and Raglan"
K7S 3H6,Arnprior
L8S 1G5,Hamilton
N3R 5J8,Brantford
L8G 5G3,Hamilton
P3E 3B5,Greater Sudbury / Grand Sudbury
P0M 1H0,Greater Sudbury / Grand Sudbury
P3E 5H5,Greater Sudbury / Grand Sudbury
P3L 1S7,N/A
P0M 1M0,St.-Charles
N9A 4M6,Windsor
N8Y 2N9,Windsor
N8W 3Y2,Windsor
N1B 1J6,N/A
M5M 4A3,Toronto
K6J 1G8,Cornwall
P3E 3L8,Greater Sudbury / Grand Sudbury
K7M 7E6,Kingston
K7K 6X4,Kingston
N0G 1L0,Minto
N0G 1S0,Brockton
L2H 2Y6,Niagara Falls
L9A 4X5,Hamilton
L9G 2B7,Hamilton
L2M 3W2,St. Catharines
L2R 6P9,Niagara-on-the-Lake
L6M 1L9,N/A
L6M 0L8,Oakville
L2H 3A1,Niagara Falls
L2V 4K8,Thorold
P3A 1Y7,Greater Sudbury / Grand Sudbury
P4N 4V7,Timmins
P6A 5N9,Sault Ste. Marie
P0M 1K0,Duck Lake 76B
K8H 1X9,Petawawa
P0R 1L0,Hilton
L8V 3L8,Hamilton
L8P 2Y9,Hamilton
N0G 2W0,Morris-Turnberry
N5X 3Y2,London
N2E 3Z3,Kitchener
N6A 5P9,London
N2L 6H6,Waterloo
N6P 0B3,London
N2G 1A7,Kitchener
P0P 1K0,Northeastern Manitoulin and the Islands
P0P 1S0,Central Manitoulin
N5P 1G4,St. Thomas
N6A 1M6,London
N7G 1X7,Strathroy-Caradoc
N5W 3G1,London
N0M 1B0,Lambton Shores
N7S 3Y1,Sarnia
N5A 5T6,Stratford
N0P 1A0,Chatham-Kent
N0M 2S0,Brooke-Alvinston
N2K 3T6,Waterloo
N6E 3R5,London
L2R 6P9,Niagara-on-the-Lake
L2N 4N7,St. Catharines
L2R 6Z4,St. Catharines
L2V 4K8,Thorold
L2T 4E6,St. Catharines
L2M 6P5,N/A
L3B 5X9,Welland
L0S 1E0,Pelham
L9S 2M5,Innisfil
L4N 0Z3,Barrie
P0X 1N0,Sioux Narrows-Nestor Falls
P0V 1T0,Ear Falls
P0X 1K0,Sioux Narrows-Nestor Falls
P0V 1C0,Red Lake
K6V 0B4,Brockville
"kville,",N/A
P0R 1J0,Jocelyn
N6A 5P9,London
N0A 1E0,Wainfleet
L3C 1M3,Welland
L8V 3L8,Hamilton
L8L 3C3,Hamilton
L8R 2K4,N/A
L7M 0Y9,N/A
N3Y 4M5,Norfolk County
L8V 1M1,Hamilton
L8P 4W3,Hamilton
L8G 1C1,Hamilton
L6S 0C1,Brampton
L8M 1A3,Hamilton
N4W 3K9,North Perth
N0M 1S3,South Huron
N0K 1M0,Wellesley
N2R 1S6,Kitchener
N3B 1L6,Woolwich
N0G 2L0,Minto
N2G 3R1,Kitchener
N2R 1S6,Kitchener
K7N 1A6,Loyalist
L3C 5Y6,Welland
L8E 5Z2,Hamilton
L8V 2V8,Hamilton
L6J 5A8,Oakville
N2R 1S6,Kitchener
N8H 3C1,Leamington
N2J 2J7,Waterloo
N3A 1R1,Wilmot
P9A 1Z2,Fort Frances
K9A 2P8,Cobourg
L1A 2Y8,Port Hope
L1A 2Y8,Port Hope
N0R 1A0,Kingsville
N0R 1G0,Kingsville
N9V 3K8,Amherstburg
K7L 5G2,Kingston
K7R 3S4,Greater Napanee
K6V 6B2,Brockville
K6V 2L2,Brockville
K7L 3S4,Kingston
L6W 0B9,N/A
L1R 2G6,Whitby
L3Y 8C9,Newmarket
M5G 2J3,Toronto
L7M 0W9,N/A
K7L 5H6,Kingston
M5S 3A9,Toronto
M1P 5J1,Toronto
(Sub to,N/A
M5B 2K3,Toronto
M9W 5Y5,Toronto
M8V 1J8,Toronto
M4C 1H7,Toronto
C4 (Sub,N/A
M8V 1K5,Toronto
P2N 3L1,Kirkland Lake
P0J 1H0,Brethour
N6A 1N6,London
P6A 5N9,Sault Ste. Marie
K0M 2A0,Galway-Cavendish and Harvey
L2R 6Z4,St. Catharines
N4G 4H5,Tillsonburg
N5H 1H3,Aylmer
L2R 6Z4,St. Catharines
N6A 1M1,London
N9Y 1A2,Kingsville
N9V 0C7,Amherstburg
N8H 3C5,Leamington
N8N 2L9,Windsor
N8W 1G4,Windsor
N8S 3N1,Windsor
N9E 1S3,Windsor
K0K 2C0,Quinte West
L4A 8A1,Whitchurch-Stouffville
L9P 1P5,Uxbridge
M2J 4V8,Toronto
N0M 2K0,Lambton Shores
N7G 1Y4,Strathroy-Caradoc
K1V 9V9,Ottawa
N7M 2K5,Chatham-Kent
L9B 1K3,Hamilton
L8P 4R5,Hamilton
L8V 3L8,Hamilton
L8R 1A2,Hamilton
L2R 6Z4,St. Catharines
L3B 3X1,Welland
M6J 1X4,Toronto
M6G 1B5,Toronto
L4L 2C7,Vaughan
M6B 3S8,Toronto
M9B 1B2,Toronto
M6B 3S8,Toronto
M6E 1B7,Toronto
M9B 1B2,Toronto
L8P 2Y9,Hamilton
L4G 1M6,Aurora
L3R 4X9,Markham
N3Y 2X3,Norfolk County
L9B 1B7,Hamilton
P0W 1L0,Dawson
P8N 2Z5,Dryden
P0V 2V0,Machin
P0T 1T0,Ignace
P8T 1A5,Sioux Lookout
N9H 1S4,LaSalle
N9A 7B4,Windsor
N8X 4G2,Windsor
N9B 1K3,Windsor
N8X 4G2,Windsor
L9T 0K4,Milton
L9T 1N3,Milton
L6K 3W4,Oakville
L7G 4A1,Halton Hills
L7J 1R2,Halton Hills
L7N 2G3,Burlington
L9T 1N3,Milton
K9J 6Y5,Peterborough
K9J 6Y5,Peterborough
K9J 6Y5,Peterborough
K9J 6Y5,Peterborough
K9J 6Y5,Peterborough
(Sub to,N/A
L5M 1K7,Mississauga
(Sub to,N/A
M3K 1Y5,Toronto
N0K 1Y0,West Perth
N0K 1N0,Perth South
N5A 6W6,Stratford
L5R 4B8,Mississauga
L4K 4L7,Vaughan
L8S 1L3,Hamilton
N0A 1A0,N/A
N0A 1H0,Haldimand County
N0A 1E0,Wainfleet
P7E 3Y8,Thunder Bay
P7B 1J3,Thunder Bay
P7B 1J9,Thunder Bay
P7E 6H8,Thunder Bay
P7C 5N9,Thunder Bay
P0T 2P0,Red Rock
N2L 6R6,Waterloo
P0X 1C0,Kenora
P7B 5Z8,Thunder Bay
P7A 1V2,Thunder Bay
N0M 1A0,Lambton Shores
N0L 1W0,Strathroy-Caradoc
L8E 3N6,Hamilton
(Sub to,N/A
L4W 4X7,Mississauga
L4W 4X7,Mississauga
L4W 4X7,Mississauga
M3B 3K3,N/A
L4W 4X7,Mississauga
L4W 4X7,Mississauga
L4W 4X7,Mississauga
R0G 0V0,Rhineland
R0E 1J0,Springfield
R0G 0A2,Macdonald
R0J 1V0,Rossburn
R0J 1A0,McCreary
R0L 1R0,"Division No. 19, Unorganized"
R0M 0X0,Cameron
R0L 1S0,Alonsa
R3C 2G1,Winnipeg
R3C 2G1,Winnipeg
R0C 3B0,Woodlands
R2H 0T8,Winnipeg
R0J 1P0,Westbourne
R7A 0L6,Brandon
R8A 1J6,Flin Flon
R2C 0R1,Winnipeg
R0C 3G0,Stonewall
R2H 0T8,Winnipeg
R3C 0R9,Winnipeg
R2P 1S7,Winnipeg
R0E 1L0,Pinawa
R3Y 1X2,Winnipeg
R2M 3S8,Winnipeg
R9A 1L3,The Pas
R2P 1S7,Winnipeg
R3P 1E9,Winnipeg
R2M 3V6,Winnipeg
R8N 0M2,Thompson
R3C 0X3,Winnipeg
R0C 1B0,Gimli
R7A 4E8,Brandon
R7A 5B5,Brandon
R2C 3B3,Winnipeg
R3C 2G1,Winnipeg
R0E 0K0,Taché
R0C 3B0,Woodlands
R0G 1W0,Morris
R6W 4B1,Winkler
R0K 0E0,Killarney - Turtle Mountain
R0K 2C0,Glenwood
R2M 3V6,Winnipeg
R0L 0X0,Gilbert Plains
R0L 2G0,Winnipegosis
R0H 0B0,Sandy Bay 5
R3C 2G1,Winnipeg
R3K 0W4,Winnipeg
R2K 2J6,Winnipeg
R0M 0Z0,Woodworth
R0E 1J0,Springfield
R0M 0M0,Winchester
R0C 0W0,Eriksdale
R3T 4Z7,Winnipeg
R0J 1W0,Silver Creek
R0K 1R0,Killarney - Turtle Mountain
"peg, MB",N/A
R1N 1W6,Portage la Prairie
R1A 1S1,Selkirk
R3W 0B9,Winnipeg
R4G 0B2,Macdonald
R1A 4M2,Selkirk
R2C 2Y6,Winnipeg
R7N 2V2,Dauphin
R6M 1T6,Morden
R0L 0Y0,Hillsburg
R0G 1A0,Pembina
R0G 2V0,South Norfolk
R0M 2C0,Virden
R0K 0L0,Roblin
R3K 2C9,Winnipeg
R3M 2A4,Winnipeg
R3M 2L8,Winnipeg
R0J 0V0,Glenella
R0J 0T0,Westbourne
R3A 1P9,Winnipeg
R0M 1P0,Sifton
R2V 3P4,Winnipeg
R2V 4W3,Winnipeg
R3B 2Z5,Winnipeg
R2C 3B4,Winnipeg
R2V 4Y1,Winnipeg
R2W 4X3,Winnipeg
R3B 2H6,Winnipeg
R0L 1Z0,Minitonas
R6W 0L7,N/A
HAMIOTA,N/A
"peg, MB",N/A
R0G 1H0,Thompson
R2V 3C8,Winnipeg
R2H 0G9,Winnipeg
R2W 3P4,Winnipeg
R0G 0S0,Ritchot
R0A 0X0,Hanover
R0G 2J0,Macdonald
R7A 0B9,Brandon
R2R 2E2,Winnipeg
R0A 0L0,Franklin
R3K 0W5,Winnipeg
R0M 1X0,Pipestone
R0M 1M0,Miniota
R2G 1M5,Winnipeg
R7N 2V6,Dauphin
R2V 3J7,Winnipeg
R0A 1E0,Hanover
R0G 1E0,Roland
R0L 1P0,Shellmouth-Boulton
R0J 1H0,Lansdowne
R0J 1E0,Odanah
R0M 0T0,Hamiota
R2W 3P4,Winnipeg
R0J 1X0,Strathclair
R3C 2G9,Winnipeg
R0K 1X0,Daly
R0M 0C0,Birtle
R0M 1L0,Arthur
R7A 0P8,Brandon
R2J 4A9,Winnipeg
R0E 1J0,Springfield
R0M 0T0,Hamiota
R0B 0L0,Gillam
R3C 0J8,Winnipeg
R0E 1M0,Alexander
 Branch,N/A
R7A 0B9,Brandon
R3C 3R1,Winnipeg
R1A 1S1,Selkirk
R2M 5R7,Winnipeg
R2M 1Z8,Winnipeg
R5G 1V7,Steinbach
R3C 1M4,Winnipeg
R0J 2C0,Strathclair
R0L 0T0,Gilbert Plains
R0J 0X0,Shellmouth-Boulton
R0G 0S0,Ritchot
R1A 2P3,Selkirk
R3G 3J7,Winnipeg
R0C 2E0,Grahamdale
R0A 1E0,Hanover
R1N 3B9,Portage la Prairie
R3C 2G1,Winnipeg
R3T 2H5,Winnipeg
R0M 2E0,Waskada
R3T 5L3,Winnipeg
R3B 2Z5,Winnipeg
R2C 3A8,Winnipeg
R0E 2G0,Reynolds
R1A 1S1,Selkirk
R0J 0G0,Ellice
R0C 3E0,Woodlands
R1N 1T9,Portage la Prairie
R2H 0T8,Winnipeg
R0C 2Z0,Dunnottar
R0C 1B0,Gimli
R0E 1A0,Lac du Bonnet
R0G 1G0,Pembina
R0A 1Z0,"Division No.  1, Unorganized"
R0J 1L0,Shoal Lake
R0C 1P0,Armstrong
R2V 1L8,Winnipeg
R0A 0H0,Franklin
R0M 0T0,Hamiota
R7B 0N2,Brandon
R0H 0R0,North Norfolk
R3P 1E9,Winnipeg
R3C 2G1,Winnipeg
R0C 0Z0,Fisher
R7A 4E8,Brandon
R3C 3Z8,Winnipeg
R2V 1L8,Winnipeg
R0K 1T0,Blanshard
R7B 4H7,N/A
R3T 5L3,Winnipeg
R3G 0E2,Winnipeg
R5G 1B1,Steinbach
R0J 0P0,Rolling River 67
R3J 0Z8,Winnipeg
R3C 2G1,Winnipeg
R3M 3Y7,Winnipeg
R3J 0P4,Winnipeg
R0C 2R0,Bifrost
R2P 1W1,Winnipeg
R3G 0T2,Winnipeg
R3G 0T2,Winnipeg
R7A 2X1,Brandon
R0J 1Z0,Shoal Lake
R0J 1V0,Rossburn
R3V 3M5,N/A
R3T 5P3,Winnipeg
R2M 3W5,Winnipeg
R7A 5C3,Brandon
R3K 0W9,Winnipeg
R7A 0B9,Brandon
R0A 0R0,De Salaberry
R0G 1R0,Rhineland
R0C 0A0,Armstrong
R0K 0P0,Victoria
R2G 1M8,Winnipeg
R3T 2H5,Winnipeg
R0A 2K0,Stuartburn
R3T 5P3,Winnipeg
R0J 2C0,Strathclair
R0K 1G0,Killarney - Turtle Mountain
R0K 0X0,South Cypress
R3R 0H3,Winnipeg
R0K 0B0,Argyle
R0G 0X0,Victoria
R0M 1Y0,Ellice
R0H 0Y0,Portage la Prairie
R3M 3Y7,Winnipeg
R2E 1H3,St. Clements
R2M 3K3,Winnipeg
R0E 0C0,Beausejour
R0C 2Z0,Dunnottar
R0H 0C0,North Cypress
R0G 2P0,Macdonald
R4H 1E1,Headingley
R0G 0J0,Thompson
R0G 1P0,Louise
R3G 3J7,Winnipeg
R0G 1K0,Montcalm
R0G 0B0,Rhineland
R0K 0H0,North Cypress
R6W 1H8,Winkler
R2C 2Y6,Winnipeg
R2C 0P8,Winnipeg
R3C 2G1,Winnipeg
R2W 2L8,Winnipeg
R0E 0C0,Beausejour
R2G 2T7,Winnipeg
R0C 0E0,Siglunes
R2C 2P9,Winnipeg
R2N 0A2,Winnipeg
R3C 2G1,Winnipeg
R2V 3C5,Winnipeg
R0G 0B0,Rhineland
B0W 1M0,Clare
B0W 2M0,Argyle
B0N 2A0,West Hants
B0P 1V0,"Kings, Subd. A"
B0W 2W0,Argyle
B0P 1V0,"Kings, Subd. A"
B4H 4B8,Amherst
E1C 2T6,Moncton
A0N 1J0,"Division No.  4, Subd. A"
A0P 1C0,Happy Valley-Goose Bay
C1N 1C1,Summerside
B0E 2W0,"Inverness, Subd. B"
B3K 2R6,Halifax
B0J 3B0,Halifax
B0P 1V0,"Kings, Subd. A"
B2Y 3S5,Halifax
B3K 2R7,Halifax
A1E 1W6,St. John's
A0G 1Z0,Savage Cove-Sandy Cove
C0A 1S0,Lot 40
B1N 1K4,Cape Breton
B2A 3S1,Cape Breton
B0W 1M0,Clare
B0N 2T0,West Hants
B0E 1X0,"Inverness, Subd. B"
E1B 5R6,Riverview
A8A 1C9,Deer Lake
A0K 4S0,St. Anthony
C0B 1V0,Lot  6
B1P 5K9,Cape Breton
B3J 3N6,Halifax
B0N 2P0,Halifax
B3L 4W8,Halifax
B2S 2L1,East Hants
B3J 1H6,Halifax
A0K 3L0,L'Anse au Loup
C1A 7L3,Charlottetown
C0A 1R0,Murray River
B3L 4W8,Halifax
B3K 1T8,Halifax
B5A 4B4,Yarmouth
B0N 2P0,Halifax
B0J 2M0,Chester
B0E 3B0,"Richmond, Subd. A"
A0G 1N0,"Division No.  8, Subd. L"
A0G 4M0,"Division No.  8, Subd. I"
C0B 1M0,Lot 67
B1E 1J9,Cape Breton
B0E 1L0,"Inverness, Subd. A"
B0E 1V0,Canso
B0W 3P0,Argyle
B9A 2B6,Port Hawkesbury
B0S 1P0,"Annapolis, Subd. D"
C0B 1M0,Lot 67
C0B 2B0,Lot 14
B1A 4W3,Cape Breton
B0E 1K0,"Richmond, Subd. C"
B2V 2T6,Halifax
B2Y 1C9,Halifax
B3K 5N3,Halifax
A1B 1C4,St. John's
A0N 1J0,"Division No.  4, Subd. A"
A1N 2C2,Mount Pearl
B1H 1Z6,Cape Breton
B0E 1Y0,"Inverness, Subd. A"
B2Y 1C9,Halifax
B0C 1R0,"Victoria, Subd. A"
B0P 1P0,"Kings, Subd. D"
B3B 2B4,Halifax
B4V 2V7,Bridgewater
B4H 4B8,Amherst
B2H 4V3,New Glasgow
B1V 2B7,Cape Breton
A2H 2G7,Corner Brook
C0B 2E0,Lot 17
C0A 1X0,Lot 24
B2G 2C1,Antigonish
B0E 1H0,"Inverness, Subd. A"
B0E 2L0,"Antigonish, Subd. B"
B0H 1P0,"Antigonish, Subd. B"
B0S 1C0,"Annapolis, Subd. A"
B0W 1M0,Clare
B0W 2Z0,Clare
B4A 4E9,Halifax
B1P 6K3,N/A
B1A 4X8,Cape Breton
B2Y 1C9,Halifax
A0E 2M0,"Division No.  2, Subd. D"
A1B 3X2,St. John's
A1N 0A5,Mount Pearl
B3K 5N3,Halifax
C1A 7M4,Charlottetown
B0E 1N0,"Inverness, Subd. B"
B2Y 1C9,Halifax
B0W 3M0,Argyle
B3K 5M1,Halifax
B2N 5A6,Truro
C0A 2B0,Lot 56
S0M 1X0,Meota No. 468
S0G 0H0,Dufferin No. 190
S4P 3W7,Regina
S0A 4A0,Preeceville No. 334
S0M 0N0,Hillsdale No. 440
S0L 0S0,Eye Hill No. 382
S4A 2A6,Estevan
S0G 2B0,Wolseley No. 155
S0N 1A0,Webb No. 138
S0H 2K0,Wood River No. 74
S0A 2H0,Hazel Dell No. 335
S0M 1P0,Manitou Lake No. 442
S0M 1V0,N/A
S0A 3L0,Rocanville No. 151
S0K 2Z0,Spalding No. 368
S0M 2K0,Beaver River No. 622
S0N 1H0,Happyland No. 231
S7H 0T8,Saskatoon
S0N 2E0,Richmound
S0M 2T0,Frenchman Butte No. 501
S0N 2M0,Grassy Creek No. 78
S4P 4M1,Regina
S0J 2M0,Spiritwood
S0G 4Y0,Francis No. 127
S0M 1M0,Maidstone
S3N 2X3,Orkney No. 244
S0J 1H0,Flett's Springs No. 429
S4N 5X2,Regina
S0K 0G0,St. Peter No. 369
S0K 2T0,Corman Park No. 344
S0E 1A0,Melfort
S0H 0C0,Avonlea
S0E 0A0,Connaught No. 457
S0H 0B0,Assiniboia
S0J 0A0,Albertville
S0N 1Z0,Auvergne No. 76
S0C 0T0,Ceylon
S0K 4W0,Reford No. 379
S0K 1H0,Prairie Rose No. 309
S0M 0V0,Meota No. 468
S0M 1A0,Beaver River No. 622
S0G 2N0,Kenaston
S0G 2W0,Scott No. 98
S0N 1H0,Happyland No. 231
S0L 2C0,Eye Hill No. 382
S0N 1N0,Maple Creek No. 111
S0C 1T0,Surprise Valley No. 9
S6H 1S3,Moose Jaw
S0G 3R0,Nokomis
S6H 4P4,Moose Jaw
S0J 2J0,Torch River No. 488
S0A 3H0,Rama
S0L 2V0,Pleasant Valley No. 288
S0K 3V0,Lake Lenore No. 399
S7H 0V4,Saskatoon
S0N 1G0,Lancer
S4P 4M1,Regina
S0G 4M0,Wood Creek No. 281
S0K 4L0,Unity
S7K 3P4,N/A
S0G 5E0,Wilcox
S4P 4M1,Regina
S3N 2X3,Orkney No. 244
