2016A00051001113,Newfoundland and Labrador,Trepassey,Town,4.5,5.3,0
2016A00051001124,Newfoundland and Labrador,"Division No.  1, Subd. U",Subdivision of unorganized,4.9,8.3,0
2016A00051001126,Newfoundland and Labrador,Cape Broyle,Town,2.6,9.6,0
2016A00051001131,Newfoundland and Labrador,Renews-Cappahayden,Town,4.6,3.5,0
2016A00051001136,Newfoundland and Labrador,Fermeuse,Town,10.5,13.6,1111
2016A00051001149,Newfoundland and Labrador,Ferryland,Town,3.3,5.4,0
2016A00051001155,Newfoundland and Labrador,"Division No.  1, Subd. W",Subdivision of unorganized,4,8.3,0
2016A00051001169,Newfoundland and Labrador,St. Vincent's-St. Stephen's-Peter's River,Town,4,5.6,0
2016A00051001178,Newfoundland and Labrador,St. Mary's,Town,4.3,5,0
2016A00051001197,Newfoundland and Labrador,Mount Carmel-Mitchells Brook-St. Catherine's,Town,5.4,7.9,0
2016A00051001203,Newfoundland and Labrador,"Division No.  1, Subd. X",Subdivision of unorganized,3.2,7.9,0
2016A00051001234,Newfoundland and Labrador,"Division No.  1, Subd. B",Subdivision of unorganized,5.9,18.3,11
2016A00051001240,Newfoundland and Labrador,Placentia,Town,6.2,10.3,11
2016A00051001259,Newfoundland and Labrador,"Division No.  1, Subd. A",Subdivision of unorganized,4.6,8.8,0
2016A00051001267,Newfoundland and Labrador,Southern Harbour,Town,3.3,11.7,10
2016A00051001270,Newfoundland and Labrador,Arnold's Cove,Town,3.7,10.5,10
2016A00051001277,Newfoundland and Labrador,Sunnyside,Town,3.2,15.1,11
2016A00051001281,Newfoundland and Labrador,Chance Cove,Town,1.8,10.6,11
2016A00051001285,Newfoundland and Labrador,Norman's Cove-Long Cove,Town,2.1,11,10
2016A00051001289,Newfoundland and Labrador,Chapel Arm,Town,1.8,8.8,0
2016A00051001293,Newfoundland and Labrador,"Division No.  1, Subd. Y",Subdivision of unorganized,2.4,10.2,11
2016A00051001298,Newfoundland and Labrador,Whitbourne,Town,3,10,11
2016A00051001304,Newfoundland and Labrador,"Division No.  1, Subd. E",Subdivision of unorganized,3.4,10.2,11
2016A00051001308,Newfoundland and Labrador,Whiteway,Town,3.8,9.8,0
2016A00051001312,Newfoundland and Labrador,Heart's Delight-Islington,Town,3.8,7.5,0
2016A00051001321,Newfoundland and Labrador,"Division No.  1, Subd. F",Subdivision of unorganized,4.3,10.2,10
2016A00051001325,Newfoundland and Labrador,Heart's Content,Town,2.7,6.6,0
2016A00051001332,Newfoundland and Labrador,Winterton,Town,4.6,10.6,10
2016A00051001335,Newfoundland and Labrador,Hant's Harbour,Town,2.8,4.8,0
2016A00051001339,Newfoundland and Labrador,"Division No.  1, Subd. G",Subdivision of unorganized,3.4,11.6,11
2016A00051001343,Newfoundland and Labrador,Old Perlican,Town,8.8,10.5,110
2016A00051001347,Newfoundland and Labrador,Bay de Verde,Town,4.4,8.7,0
2016A00051001352,Newfoundland and Labrador,Small Point-Adam's Cove-Blackhead-Broad Cove,Town,5.5,13.6,11
2016A00051001357,Newfoundland and Labrador,"Division No.  1, Subd. H",Subdivision of unorganized,4.3,12.1,10
2016A00051001361,Newfoundland and Labrador,Salmon Cove,Town,5.9,15.3,11
2016A00051001365,Newfoundland and Labrador,Victoria,Town,3.2,9.5,0
2016A00051001370,Newfoundland and Labrador,Carbonear,Town,6.2,10.3,11
2016A00051001374,Newfoundland and Labrador,"Division No.  1, Subd. I",Subdivision of unorganized,2.4,13.9,11
2016A00051001375,Newfoundland and Labrador,Bryant's Cove,Town,2.7,8.3,1
2016A00051001379,Newfoundland and Labrador,Harbour Grace,Town,3.1,9.5,0
2016A00051001385,Newfoundland and Labrador,Upper Island Cove,Town,3,8.7,0
2016A00051001394,Newfoundland and Labrador,Bishop's Cove,Town,8.3,6,101
2016A00051001396,Newfoundland and Labrador,Spaniard's Bay,Town,3.8,9.4,0
2016A00051001409,Newfoundland and Labrador,Bay Roberts,Town,3.2,7.6,0
2016A00051001415,Newfoundland and Labrador,"Division No.  1, Subd. L",Subdivision of unorganized,2.1,4.1,0
2016A00051001421,Newfoundland and Labrador,"Division No.  1, Subd. M",Subdivision of unorganized,4.2,9.6,0
2016A00051001426,Newfoundland and Labrador,North River,Town,3.6,9.2,0
2016A00051001429,Newfoundland and Labrador,Clarke's Beach,Town,11.3,6.2,1100
2016A00051001434,Newfoundland and Labrador,South River,Town,4.4,6.1,0
2016A00051001437,Newfoundland and Labrador,Cupids,Town,3.5,4.1,0
2016A00051001441,Newfoundland and Labrador,"Division No.  1, Subd. N",Subdivision of unorganized,4.1,10.5,10
2016A00051001446,Newfoundland and Labrador,Brigus,Town,4.1,7.3,0
2016A00051001452,Newfoundland and Labrador,"Division No.  1, Subd. O",Subdivision of unorganized,5.4,14.1,11
2016A00051001456,Newfoundland and Labrador,Colliers,Town,3.1,10.1,10
2016A00051001461,Newfoundland and Labrador,Conception Harbour,Town,3,7.4,0
2016A00051001464,Newfoundland and Labrador,Avondale,Town,4.7,7.8,1
2016A00051001469,Newfoundland and Labrador,Harbour Main-Chapel's Cove-Lakeview,Town,2.9,8.5,0
2016A00051001472,Newfoundland and Labrador,Holyrood,Town,4.5,9,0
2016A00051001485,Newfoundland and Labrador,Conception Bay South,Town,2.5,3.9,0
2016A00051001494,Newfoundland and Labrador,Wabana,Town,4.9,12.6,10
2016A00051001504,Newfoundland and Labrador,Portugal Cove-St. Philip's,Town,3,3.7,0
2016A00051001505,Newfoundland and Labrador,Pouch Cove,Town,3,8.3,0
2016A00051001507,Newfoundland and Labrador,Flatrock,Town,3.1,4.7,0
2016A00051001509,Newfoundland and Labrador,Torbay,Town,2.6,4.9,0
2016A00051001511,Newfoundland and Labrador,Logy Bay-Middle Cove-Outer Cove,Town,2.6,3.5,0
2016A00051001512,Newfoundland and Labrador,Bauline,Town,3.1,3.8,0
2016A00051001517,Newfoundland and Labrador,Paradise,Town,2.9,4.6,0
2016A00051001519,Newfoundland and Labrador,St. John's,City,4,5.8,0
2016A00051001542,Newfoundland and Labrador,Mount Pearl,City,3.2,4.4,0
2016A00051001551,Newfoundland and Labrador,Petty Harbour-Maddox Cove,Town,3.5,9.4,1
2016A00051001557,Newfoundland and Labrador,Bay Bulls,Town,4.8,14,11
2016A00051001559,Newfoundland and Labrador,Witless Bay,Town,3.5,6.5,0
2016A00051002002,Newfoundland and Labrador,Lewin's Cove,Town,3.4,7.5,0
2016A00051002005,Newfoundland and Labrador,Burin,Town,4.7,7.7,0
2016A00051002008,Newfoundland and Labrador,St. Lawrence,Town,4.3,6.8,0
2016A00051002011,Newfoundland and Labrador,Lawn,Town,2.1,11.5,11
2016A00051002012,Newfoundland and Labrador,Lamaline,Town,2.1,12.4,11
2016A00051002018,Newfoundland and Labrador,Fortune,Town,2.1,8.1,0
2016A00051002019,Newfoundland and Labrador,Grand Bank,Town,4,7.6,0
2016A00051002021,Newfoundland and Labrador,Garnish,Town,1.8,3.4,0
2016A00051002023,Newfoundland and Labrador,Winterland,Town,3.3,7.4,0
2016A00051002024,Newfoundland and Labrador,Marystown,Town,5.2,7.2,0
2016A00051002025,Newfoundland and Labrador,Fox Cove-Mortier,Town,5.2,10.3,10
2016A00051002031,Newfoundland and Labrador,"Division No.  2, Subd. C",Subdivision of unorganized,2.4,4.5,0
2016A00051002036,Newfoundland and Labrador,Terrenceville,Town,2.9,6.3,0
2016A00051002041,Newfoundland and Labrador,St. Bernard's-Jacques Fontaine,Town,4.9,13.5,11
2016A00051002048,Newfoundland and Labrador,"Division No.  2, Subd. K",Subdivision of unorganized,6,9.6,1
2016A00051003003,Newfoundland and Labrador,St. Jacques-Coomb's Cove,Town,2.8,2,0
2016A00051003004,Newfoundland and Labrador,Belleoram,Town,1.8,5.9,0
2016A00051003008,Newfoundland and Labrador,Harbour Breton,Town,3.5,7.5,0
2016A00051003011,Newfoundland and Labrador,Hermitage-Sandyville,Town,3.2,3.8,0
2016A00051003018,Newfoundland and Labrador,Milltown-Head of Bay d'Espoir,Town,4.3,7.2,1
2016A00051003019,Newfoundland and Labrador,St. Alban's,Town,3.5,3.5,0
2016A00051003028,Newfoundland and Labrador,Burgeo,Town,5.1,10.8,10
2016A00051003031,Newfoundland and Labrador,"Division No.  3, Subd. H",Subdivision of unorganized,2.9,7.6,0
2016A00051003032,Newfoundland and Labrador,Isle aux Morts,Town,2.8,5.5,0
2016A00051003033,Newfoundland and Labrador,Burnt Islands,Town,3.3,10.8,10
2016A00051003034,Newfoundland and Labrador,Channel-Port aux Basques,Town,5.9,12.1,10
2016A00051003045,Newfoundland and Labrador,Rose Blanche-Harbour le Cou,Town,5.1,11.4,10
2016A00051003801,Newfoundland and Labrador,Samiajij Miawpukek,Indian reserve,1.1,0.8,0
2016A00051004001,Newfoundland and Labrador,"Division No.  4, Subd. A",Subdivision of unorganized,6.2,11.4,11
2016A00051004006,Newfoundland and Labrador,"Division No.  4, Subd. B",Subdivision of unorganized,4.5,9.6,0
2016A00051004011,Newfoundland and Labrador,"Division No.  4, Subd. C",Subdivision of unorganized,3.8,12.9,11
2016A00051004013,Newfoundland and Labrador,St. George's,Town,3,6.3,0
2016A00051004016,Newfoundland and Labrador,"Division No.  4, Subd. D",Subdivision of unorganized,3.6,4.8,0
2016A00051004018,Newfoundland and Labrador,Stephenville Crossing,Town,5.8,10.3,11
2016A00051004019,Newfoundland and Labrador,Stephenville,Town,3.7,7.3,0
2016A00051004020,Newfoundland and Labrador,Kippens,Town,3.8,3.6,0
2016A00051004021,Newfoundland and Labrador,Port au Port East,Town,2.3,2.9,0
2016A00051004022,Newfoundland and Labrador,"Division No.  4, Subd. E",Subdivision of unorganized,4.1,5.3,0
2016A00051004033,Newfoundland and Labrador,Cape St. George,Town,4.3,9,0
2016A00051004037,Newfoundland and Labrador,Lourdes,Town,5.4,8.8,0
2016A00051004042,Newfoundland and Labrador,Port au Port West-Aguathuna-Felix Cove,Town,5.3,6.1,0
2016A00051005003,Newfoundland and Labrador,"Division No.  5, Subd. G",Subdivision of unorganized,6.7,9.9,0
2016A00051005004,Newfoundland and Labrador,Deer Lake,Town,4.7,7.9,0
2016A00051005005,Newfoundland and Labrador,Jackson's Arm,Town,5.2,9.9,1
2016A00051005008,Newfoundland and Labrador,Hampden,Town,7.5,8.7,1
2016A00051005009,Newfoundland and Labrador,Reidville,Town,2.5,3.4,0
2016A00051005010,Newfoundland and Labrador,"Division No.  5, Subd. F",Subdivision of unorganized,4.7,8.8,0
2016A00051005011,Newfoundland and Labrador,Steady Brook,Town,3.7,4.7,0
2016A00051005012,Newfoundland and Labrador,Pasadena,Town,5.5,8.4,0
2016A00051005014,Newfoundland and Labrador,Cormack,Town,5.6,13,11
2016A00051005015,Newfoundland and Labrador,Gillams,Town,2.7,6.7,0
2016A00051005017,Newfoundland and Labrador,Massey Drive,Town,2.4,7.6,0
2016A00051005018,Newfoundland and Labrador,Corner Brook,City,4.6,6.9,0
2016A00051005020,Newfoundland and Labrador,Humber Arm South,Town,4.2,11.3,10
2016A00051005022,Newfoundland and Labrador,McIvers,Town,4,10.3,10
2016A00051005023,Newfoundland and Labrador,Cox's Cove,Town,3.8,10,10
2016A00051005024,Newfoundland and Labrador,Lark Harbour,Town,3.7,6.6,0
2016A00051005025,Newfoundland and Labrador,Meadows,Town,9.8,10,10
2016A00051005030,Newfoundland and Labrador,Irishtown-Summerside,Town,6.9,11.8,11
2016A00051005033,Newfoundland and Labrador,Mount Moriah,Town,3.6,8.8,0
2016A00051005035,Newfoundland and Labrador,York Harbour,Town,1.7,6.8,0
2016A00051006003,Newfoundland and Labrador,Norris Arm,Town,4.9,14.8,11
2016A00051006009,Newfoundland and Labrador,Gander,Town,2.9,3.3,0
2016A00051006012,Newfoundland and Labrador,Glenwood,Town,6.1,13.9,11
2016A00051006014,Newfoundland and Labrador,"Division No.  6, Subd. C",Subdivision of unorganized,8.2,17.1,11
2016A00051006015,Newfoundland and Labrador,Northern Arm,Town,4.4,11.5,11
2016A00051006017,Newfoundland and Labrador,Grand Falls-Windsor,Town,4.1,3.6,0
2016A00051006019,Newfoundland and Labrador,Bishop's Falls,Town,4.5,13,11
2016A00051006021,Newfoundland and Labrador,Peterview,Town,5.6,14,11
2016A00051006022,Newfoundland and Labrador,Botwood,Town,5.5,10.9,10
2016A00051006026,Newfoundland and Labrador,Badger,Town,3.5,13.6,11
2016A00051006031,Newfoundland and Labrador,Buchans,Town,7.6,17.6,11
2016A00051007001,Newfoundland and Labrador,"Division No.  7, Subd. M",Subdivision of unorganized,3.8,10.4,10
2016A00051007006,Newfoundland and Labrador,"Division No.  7, Subd. L",Subdivision of unorganized,4.1,10.1,11
2016A00051007009,Newfoundland and Labrador,"Division No.  7, Subd. K",Subdivision of unorganized,3.6,10,11
2016A00051007013,Newfoundland and Labrador,Clarenville,Town,4.5,6.8,0
2016A00051007014,Newfoundland and Labrador,"Division No.  7, Subd. J",Subdivision of unorganized,4.4,10.2,11
2016A00051007016,Newfoundland and Labrador,Port Rexton,Town,3.3,13.5,11
2016A00051007020,Newfoundland and Labrador,Elliston,Town,3.1,7.5,0
2016A00051007022,Newfoundland and Labrador,Trinity Bay North,Town,4.3,8,0
2016A00051007023,Newfoundland and Labrador,Bonavista,Town,5.2,7.2,0
2016A00051007024,Newfoundland and Labrador,"Division No.  7, Subd. G",Subdivision of unorganized,7.5,9.5,0
2016A00051007028,Newfoundland and Labrador,"Division No.  7, Subd. F",Subdivision of unorganized,2.6,8.4,1
2016A00051007031,Newfoundland and Labrador,"Division No.  7, Subd. E",Subdivision of unorganized,2.3,9.1,0
2016A00051007032,Newfoundland and Labrador,Musgravetown,Town,4.1,6.3,0
2016A00051007036,Newfoundland and Labrador,Port Blandford,Town,4.3,12.2,11
2016A00051007037,Newfoundland and Labrador,Traytown,Town,1.2,4,0
2016A00051007042,Newfoundland and Labrador,Eastport,Town,3.8,6.5,0
2016A00051007044,Newfoundland and Labrador,Glovertown,Town,3,4.2,0
2016A00051007047,Newfoundland and Labrador,Gambo,Town,2.4,6,0
2016A00051007049,Newfoundland and Labrador,Hare Bay,Town,3,7.8,0
2016A00051007050,Newfoundland and Labrador,Centreville-Wareham-Trinity,Town,2.7,5.5,0
2016A00051007054,Newfoundland and Labrador,Greenspond,Town,0.9,10.3,10
2016A00051007057,Newfoundland and Labrador,Dover,Town,3.6,11.4,11
2016A00051007060,Newfoundland and Labrador,New-Wes-Valley,Town,3.7,6.7,0
2016A00051008004,Newfoundland and Labrador,Lumsden,Town,2.2,6.9,0
2016A00051008006,Newfoundland and Labrador,Musgrave Harbour,Town,3,5.4,0
2016A00051008008,Newfoundland and Labrador,"Division No.  8, Subd. L",Subdivision of unorganized,2.9,6.9,0
2016A00051008011,Newfoundland and Labrador,Carmanville,Town,3.2,5.6,0
2016A00051008031,Newfoundland and Labrador,"Division No.  8, Subd. H",Subdivision of unorganized,3.4,6.3,0
2016A00051008033,Newfoundland and Labrador,Summerford,Town,4.5,4.7,0
2016A00051008035,Newfoundland and Labrador,Twillingate,Town,5.1,7.8,0
2016A00051008036,Newfoundland and Labrador,"Division No.  8, Subd. G",Subdivision of unorganized,5.1,9.4,0
2016A00051008037,Newfoundland and Labrador,Campbellton,Town,3.1,7.3,0
2016A00051008038,Newfoundland and Labrador,Birchy Bay,Town,7.1,18.4,11
2016A00051008039,Newfoundland and Labrador,Comfort Cove-Newstead,Town,4.4,4.3,0
2016A00051008040,Newfoundland and Labrador,Baytona,Town,3.1,3.9,0
2016A00051008042,Newfoundland and Labrador,"Division No.  8, Subd. F",Subdivision of unorganized,3.8,5.2,0
2016A00051008043,Newfoundland and Labrador,Embree,Town,4.5,5.6,0
2016A00051008044,Newfoundland and Labrador,Lewisporte,Town,5.3,4.9,0
2016A00051008046,Newfoundland and Labrador,"Division No.  8, Subd. E",Subdivision of unorganized,4.5,7.6,1
2016A00051008048,Newfoundland and Labrador,Leading Tickles,Town,3.6,1.7,0
2016A00051008049,Newfoundland and Labrador,Point Leamington,Town,5.9,4.2,0
2016A00051008053,Newfoundland and Labrador,Pilley's Island,Town,3.9,6.6,0
2016A00051008054,Newfoundland and Labrador,Triton,Town,4.8,8,0
2016A00051008058,Newfoundland and Labrador,"Division No.  8, Subd. C",Subdivision of unorganized,6.2,4.6,0
2016A00051008059,Newfoundland and Labrador,South Brook,Town,3.9,5.7,0
2016A00051008060,Newfoundland and Labrador,Robert's Arm,Town,4.7,6.3,0
2016A00051008061,Newfoundland and Labrador,Springdale,Town,4.9,9.5,0
2016A00051008065,Newfoundland and Labrador,"Division No.  8, Subd. P",Subdivision of unorganized,4.1,7.1,0
2016A00051008067,Newfoundland and Labrador,"Division No.  8, Subd. O",Subdivision of unorganized,2.1,5.3,0
2016A00051008069,Newfoundland and Labrador,King's Point,Town,3.4,1.7,0
2016A00051008071,Newfoundland and Labrador,Burlington,Town,2,3.1,0
2016A00051008072,Newfoundland and Labrador,Middle Arm,Town,2.6,8.1,0
2016A00051008076,Newfoundland and Labrador,LaScie,Town,2.8,4.1,0
2016A00051008079,Newfoundland and Labrador,Baie Verte,Town,3.8,6.9,0
2016A00051008091,Newfoundland and Labrador,Seal Cove (White Bay),Town,5.5,12.4,11
2016A00051008095,Newfoundland and Labrador,Ming's Bight,Town,4.9,10.7,10
2016A00051008099,Newfoundland and Labrador,Fogo Island,Town,6.2,8.6,0
2016A00051009004,Newfoundland and Labrador,Englee,Town,4.2,9.1,0
2016A00051009007,Newfoundland and Labrador,Roddickton-Bide Arm,Town,6.7,11.4,10
2016A00051009010,Newfoundland and Labrador,Trout River,Town,3.2,6.8,0
2016A00051009011,Newfoundland and Labrador,"Woody Point, Bonne Bay",Town,2.6,6,0
2016A00051009012,Newfoundland and Labrador,Norris Point,Town,2.9,7,0
2016A00051009013,Newfoundland and Labrador,Rocky Harbour,Town,2.8,6,0
2016A00051009015,Newfoundland and Labrador,Daniel's Harbour,Town,3.2,4.3,0
2016A00051009016,Newfoundland and Labrador,Cow Head,Town,5.5,3.6,0
2016A00051009017,Newfoundland and Labrador,Parson's Pond,Town,6.7,19.1,11
2016A00051009018,Newfoundland and Labrador,Hawke's Bay,Town,9,14.3,11
2016A00051009019,Newfoundland and Labrador,Port Saunders,Town,7.9,5.2,0
2016A00051009021,Newfoundland and Labrador,"Division No.  9, Subd. C",Subdivision of unorganized,3.1,10.5,10
2016A00051009022,Newfoundland and Labrador,Port au Choix,Town,7.4,7.4,0
2016A00051009023,Newfoundland and Labrador,Anchor Point,Town,2.4,3.3,0
2016A00051009029,Newfoundland and Labrador,St. Anthony,Town,5.2,8.9,0
2016A00051009031,Newfoundland and Labrador,"Division No.  9, Subd. D",Subdivision of unorganized,3.6,9.3,0
2016A00051009032,Newfoundland and Labrador,St. Lunaire-Griquet,Town,2.5,7.6,0
2016A00051010002,Newfoundland and Labrador,L'Anse au Loup,Town,2.3,9.5,0
2016A00051010005,Newfoundland and Labrador,Forteau,Town,4.4,11.3,11
2016A00051010008,Newfoundland and Labrador,"Division No. 10, Subd. B",Subdivision of unorganized,7.8,8.3,101
2016A00051010009,Newfoundland and Labrador,Port Hope Simpson,Town,3,3.3,0
2016A00051010011,Newfoundland and Labrador,Mary's Harbour,Town,1.9,2.2,0
2016A00051010012,Newfoundland and Labrador,"Cartwright, Labrador",Town,0.7,1.2,0
2016A00051010013,Newfoundland and Labrador,Charlottetown (Labrador),Town,6,6.7,0
2016A00051010020,Newfoundland and Labrador,"Division No. 10, Subd. C",Subdivision of unorganized,8.2,8.5,101
2016A00051010022,Newfoundland and Labrador,North West River,Town,3.5,4,0
2016A00051010025,Newfoundland and Labrador,Happy Valley-Goose Bay,Town,5.3,6.3,0
2016A00051010029,Newfoundland and Labrador,"Division No. 10, Subd. D",Subdivision of unorganized,1.4,4.5,0
2016A00051010032,Newfoundland and Labrador,Labrador City,Town,1.9,3.2,0
2016A00051010034,Newfoundland and Labrador,Wabush,Town,3,4.6,0
2016A00051011010,Newfoundland and Labrador,Rigolet,Town,7.7,8.3,101
2016A00051011020,Newfoundland and Labrador,Makkovik,Town,6.4,7.1,101
